Name,Image,National Number,Type,Species,Height,Weight,Abilities,Local Number,EV yield,Catch rate,Base Friendship,Base Exp.,Growth Rate,Egg Groups,Gender,Egg cycles,HP,Min HP,Max HP,Attack,Min Attack,Max Attack,Defense,Min Defense,Max Defense,Sp. Atk,Min Sp. Atk,Max Sp. Atk,Sp. Def,Min Sp. Def,Max Sp. Def,Speed,Min Speed,Max Speed,Total,Normal,Fire,Water,Electric,Grass,Ice,Fighting,Poison,Ground,Flying,Psychic,Bug,Rock,Ghost,Dragon,Dark,Steel,Fairy
Standard Mode,https://img.pokemondb.net/artwork/darmanitan-standard.jpg,0555,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),1. Sheer ForceZen Mode (hidden ability),0061 (Black/White)0103 (Black 2/White 2)0368 (Sword/Shield)0104 (The Crown Tundra),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,480,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Zen Mode,https://img.pokemondb.net/artwork/darmanitan-zen.jpg,0555,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),1. Sheer ForceZen Mode (hidden ability),0061 (Black/White)0103 (Black 2/White 2)0368 (Sword/Shield)0104 (The Crown Tundra),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,480,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Galarian Standard Mode,https://img.pokemondb.net/artwork/darmanitan-galarian-standard.jpg,0555,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),1. Sheer ForceZen Mode (hidden ability),0061 (Black/White)0103 (Black 2/White 2)0368 (Sword/Shield)0104 (The Crown Tundra),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,480,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Galarian Zen Mode,https://img.pokemondb.net/artwork/darmanitan-galarian-zen.jpg,0555,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),1. Sheer ForceZen Mode (hidden ability),0061 (Black/White)0103 (Black 2/White 2)0368 (Sword/Shield)0104 (The Crown Tundra),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),168,Medium Slow,Field,"50% male, 50% female","20 (4,884–5,140 steps)",105,320,414,140,256,416,55,103,229,30,58,174,55,103,229,95,175,317,480,100,50,200,100,50,50,100,100,200,100,100,50,200,100,100,100,50,50
Maractus,https://img.pokemondb.net/artwork/maractus.jpg,0556,Grass,Cactus Pokémon,1.0 m (3′03″),28.0 kg (61.7 lbs),1. Water Absorb2. ChlorophyllStorm Drain (hidden ability),0062 (Black/White)0119 (Black 2/White 2)0296 (Sword/Shield),2 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),161,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,86,159,298,67,125,256,106,195,342,67,125,256,60,112,240,461,100,200,0,50,50,200,100,200,50,200,100,200,100,100,100,100,100,100
Dwebble,https://img.pokemondb.net/artwork/dwebble.jpg,0557,Bug Rock,Rock Inn Pokémon,0.3 m (1′00″),14.5 kg (32.0 lbs),1. Sturdy2. Shell ArmorWeak Armor (hidden ability),0063 (Black/White)0115 (Black 2/White 2)0023 (X/Y — Coastal Kalos)0086 (Sword/Shield)0122 (The Isle of Armor),1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),65,Medium Fast,"Bug, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,65,121,251,85,157,295,35,67,185,35,67,185,55,103,229,325,50,100,200,100,100,100,100,50,100,100,100,100,200,100,100,100,200,100
Crustle,https://img.pokemondb.net/artwork/crustle.jpg,0558,Bug Rock,Stone Home Pokémon,1.4 m (4′07″),200.0 kg (440.9 lbs),1. Sturdy2. Shell ArmorWeak Armor (hidden ability),0064 (Black/White)0116 (Black 2/White 2)0024 (X/Y — Coastal Kalos)0087 (Sword/Shield)0123 (The Isle of Armor),2 Defense,"75 (9.8% with PokéBall, full HP)",50 (normal),170,Medium Fast,"Bug, Mineral","50% male, 50% female","20 (4,884–5,140 steps)",70,250,344,105,193,339,125,229,383,65,121,251,75,139,273,45,85,207,485,50,100,200,100,100,100,100,50,100,100,100,100,200,100,100,100,200,100
Scraggy,https://img.pokemondb.net/artwork/scraggy.jpg,0559,Dark Fighting,Shedding Pokémon,0.6 m (2′00″),11.8 kg (26.0 lbs),1. Shed Skin2. MoxieIntimidate (hidden ability),0065 (Black/White)0117 (Black 2/White 2)0100 (X/Y — Central Kalos)0335 (U.Sun/U.Moon — Alola dex)0224 (Sword/Shield)0161 (The Isle of Armor),1 Attack,"180 (23.5% with PokéBall, full HP)",35 (lower than normal),70,Medium Fast,"Dragon, Field","50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,75,139,273,70,130,262,35,67,185,70,130,262,48,90,214,348,100,100,100,100,100,100,200,100,100,200,0,100,50,50,100,25,100,400
Scrafty,https://img.pokemondb.net/artwork/scrafty.jpg,0560,Dark Fighting,Hoodlum Pokémon,1.1 m (3′07″),30.0 kg (66.1 lbs),1. Shed Skin2. MoxieIntimidate (hidden ability),0066 (Black/White)0118 (Black 2/White 2)0101 (X/Y — Central Kalos)0336 (U.Sun/U.Moon — Alola dex)0225 (Sword/Shield)0162 (The Isle of Armor),"1 Defense, 1 Sp. Def","90 (11.8% with PokéBall, full HP)",50 (normal),171,Medium Fast,"Dragon, Field","50% male, 50% female","15 (3,599–3,855 steps)",65,240,334,90,166,306,115,211,361,45,85,207,115,211,361,58,108,236,488,100,100,100,100,100,100,200,100,100,200,0,100,50,50,100,25,100,400
Sigilyph,https://img.pokemondb.net/artwork/sigilyph.jpg,0561,Psychic Flying,Avianoid Pokémon,1.4 m (4′07″),14.0 kg (30.9 lbs),1. Wonder Skin2. Magic GuardTinted Lens (hidden ability),0067 (Black/White)0120 (Black 2/White 2)0090 (X/Y — Coastal Kalos)0297 (Sword/Shield),2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),172,Medium Fast,Flying,"50% male, 50% female","20 (4,884–5,140 steps)",72,254,348,58,108,236,80,148,284,103,189,335,80,148,284,97,179,322,490,100,100,100,200,50,200,25,100,0,100,50,100,200,200,100,200,100,100
Yamask,https://img.pokemondb.net/artwork/yamask.jpg,0562,Ghost,Spirit Pokémon,0.5 m (1′08″),1.5 kg (3.3 lbs),1. Mummy,0068 (Black/White)0124 (Black 2/White 2)0327 (Sword/Shield),1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Amorphous, Mineral","50% male, 50% female","25 (6,169–6,425 steps)",38,186,280,30,58,174,85,157,295,55,103,229,65,121,251,30,58,174,303,0,100,100,100,100,100,0,50,100,100,100,50,100,200,100,200,100,100
Galarian Yamask,https://img.pokemondb.net/artwork/yamask-galarian.jpg,0562,Ghost,Spirit Pokémon,0.5 m (1′08″),1.5 kg (3.3 lbs),1. Mummy,0068 (Black/White)0124 (Black 2/White 2)0327 (Sword/Shield),1 Defense,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Amorphous, Mineral","50% male, 50% female","25 (6,169–6,425 steps)",38,186,280,30,58,174,85,157,295,55,103,229,65,121,251,30,58,174,303,0,100,100,100,100,100,0,50,100,100,100,50,100,200,100,200,100,100
Cofagrigus,https://img.pokemondb.net/artwork/cofagrigus.jpg,0563,Ghost,Coffin Pokémon,1.7 m (5′07″),76.5 kg (168.7 lbs),1. Mummy,0069 (Black/White)0125 (Black 2/White 2)0329 (Sword/Shield),2 Defense,"90 (11.8% with PokéBall, full HP)",50 (normal),169,Medium Fast,"Amorphous, Mineral","50% male, 50% female","25 (6,169–6,425 steps)",58,226,320,50,94,218,145,265,427,95,175,317,105,193,339,30,58,174,483,0,100,100,100,100,100,0,50,100,100,100,50,100,200,100,200,100,100
Tirtouga,https://img.pokemondb.net/artwork/tirtouga.jpg,0564,Water Rock,Prototurtle Pokémon,0.7 m (2′04″),16.5 kg (36.4 lbs),1. Solid Rock2. SturdySwift Swim (hidden ability),0070 (Black/White)0126 (Black 2/White 2)0194 (Sun/Moon — Alola dex)0241 (U.Sun/U.Moon — Alola dex)0147 (The Crown Tundra),1 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Water 1, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",54,218,312,78,144,280,103,189,335,53,99,225,45,85,207,22,44,157,355,50,25,100,200,400,50,200,50,200,50,100,100,100,100,100,100,100,100
Carracosta,https://img.pokemondb.net/artwork/carracosta.jpg,0565,Water Rock,Prototurtle Pokémon,1.2 m (3′11″),81.0 kg (178.6 lbs),1. Solid Rock2. SturdySwift Swim (hidden ability),0071 (Black/White)0127 (Black 2/White 2)0195 (Sun/Moon — Alola dex)0242 (U.Sun/U.Moon — Alola dex)0148 (The Crown Tundra),2 Defense,"45 (5.9% with PokéBall, full HP)",50 (normal),173,Medium Fast,"Water 1, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",74,258,352,108,198,346,133,243,401,83,153,291,65,121,251,32,62,179,495,50,25,100,200,400,50,200,50,200,50,100,100,100,100,100,100,100,100
Archen,https://img.pokemondb.net/artwork/archen.jpg,0566,Rock Flying,First Bird Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),1. Defeatist,0072 (Black/White)0128 (Black 2/White 2)0192 (Sun/Moon — Alola dex)0239 (U.Sun/U.Moon — Alola dex)0149 (The Crown Tundra),1 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),71,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",55,220,314,112,206,355,45,85,207,74,137,271,45,85,207,70,130,262,401,50,50,200,200,100,200,100,50,0,50,100,50,200,100,100,100,200,100
Archeops,https://img.pokemondb.net/artwork/archeops.jpg,0567,Rock Flying,First Bird Pokémon,1.4 m (4′07″),32.0 kg (70.5 lbs),1. Defeatist,0073 (Black/White)0129 (Black 2/White 2)0193 (Sun/Moon — Alola dex)0240 (U.Sun/U.Moon — Alola dex)0150 (The Crown Tundra),2 Attack,"45 (5.9% with PokéBall, full HP)",50 (normal),177,Medium Fast,"Flying, Water 3","87.5% male, 12.5% female","30 (7,454–7,710 steps)",75,260,354,140,256,416,65,121,251,112,206,355,65,121,251,110,202,350,567,50,50,200,200,100,200,100,50,0,50,100,50,200,100,100,100,200,100
Trubbish,https://img.pokemondb.net/artwork/trubbish.jpg,0568,Poison,Trash Bag Pokémon,0.6 m (2′00″),31.0 kg (68.3 lbs),1. Stench2. Sticky HoldAftermath (hidden ability),0074 (Black/White)0105 (Black 2/White 2)0074 (X/Y — Mountain Kalos)0206 (Sun/Moon — Alola dex)0264 (U.Sun/U.Moon — Alola dex)0157 (Sword/Shield),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),66,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",50,210,304,50,94,218,62,116,245,40,76,196,62,116,245,65,121,251,329,100,100,100,100,50,100,50,50,200,100,200,50,100,100,100,100,100,50
Garbodor,https://img.pokemondb.net/artwork/garbodor.jpg,0569,Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs),1. Stench2. Weak ArmorAftermath (hidden ability),0075 (Black/White)0106 (Black 2/White 2)0075 (X/Y — Mountain Kalos)0207 (Sun/Moon — Alola dex)0265 (U.Sun/U.Moon — Alola dex)0158 (Sword/Shield),2 Attack,"60 (7.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,95,175,317,82,152,289,60,112,240,82,152,289,75,139,273,474,100,100,100,100,50,100,50,50,200,100,200,50,100,100,100,100,100,50
Zorua,https://img.pokemondb.net/artwork/zorua.jpg,0570,Dark,Tricky Fox Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),1. Illusion,0076 (Black/White)0151 (Black 2/White 2)0124 (X/Y — Mountain Kalos)0028 (U.Sun/U.Moon — Alola dex)0219 (Legends: Arceus)0228 (Scarlet/Violet)0087 (The Isle of Armor),1 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),66,Medium Slow,Field,"87.5% male, 12.5% female","25 (6,169–6,425 steps)",40,190,284,65,121,251,40,76,196,80,148,284,40,76,196,65,121,251,330,100,100,100,100,100,100,200,100,100,100,0,200,100,50,100,50,100,200
Hisuian Zorua,https://img.pokemondb.net/artwork/zorua-hisuian.jpg,0570,Dark,Tricky Fox Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),1. Illusion,0076 (Black/White)0151 (Black 2/White 2)0124 (X/Y — Mountain Kalos)0028 (U.Sun/U.Moon — Alola dex)0219 (Legends: Arceus)0228 (Scarlet/Violet)0087 (The Isle of Armor),1 Sp. Atk,"75 (9.8% with PokéBall, full HP)",50 (normal),66,Medium Slow,Field,"87.5% male, 12.5% female","25 (6,169–6,425 steps)",40,190,284,65,121,251,40,76,196,80,148,284,40,76,196,65,121,251,330,100,100,100,100,100,100,200,100,100,100,0,200,100,50,100,50,100,200
Zoroark,https://img.pokemondb.net/artwork/zoroark.jpg,0571,Dark,Illusion Fox Pokémon,1.6 m (5′03″),81.1 kg (178.8 lbs),1. Illusion,0077 (Black/White)0152 (Black 2/White 2)0125 (X/Y — Mountain Kalos)0029 (U.Sun/U.Moon — Alola dex)0220 (Legends: Arceus)0229 (Scarlet/Violet)0088 (The Isle of Armor),2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",60,230,324,105,193,339,60,112,240,120,220,372,60,112,240,105,193,339,510,100,100,100,100,100,100,200,100,100,100,0,200,100,50,100,50,100,200
Hisuian Zoroark,https://img.pokemondb.net/artwork/zoroark-hisuian.jpg,0571,Dark,Illusion Fox Pokémon,1.6 m (5′03″),81.1 kg (178.8 lbs),1. Illusion,0077 (Black/White)0152 (Black 2/White 2)0125 (X/Y — Mountain Kalos)0029 (U.Sun/U.Moon — Alola dex)0220 (Legends: Arceus)0229 (Scarlet/Violet)0088 (The Isle of Armor),2 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),179,Medium Slow,Field,"87.5% male, 12.5% female","20 (4,884–5,140 steps)",60,230,324,105,193,339,60,112,240,120,220,372,60,112,240,105,193,339,510,100,100,100,100,100,100,200,100,100,100,0,200,100,50,100,50,100,200
Minccino,https://img.pokemondb.net/artwork/minccino.jpg,0572,Normal,Chinchilla Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),1. Cute Charm2. TechnicianSkill Link (hidden ability),0078 (Black/White)0107 (Black 2/White 2)0266 (U.Sun/U.Moon — Alola dex)0050 (Sword/Shield),1 Speed,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Fast,Field,"25% male, 75% female","15 (3,599–3,855 steps)",55,220,314,50,94,218,40,76,196,40,76,196,40,76,196,75,139,273,300,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Cinccino,https://img.pokemondb.net/artwork/cinccino.jpg,0573,Normal,Scarf Pokémon,0.5 m (1′08″),7.5 kg (16.5 lbs),1. Cute Charm2. TechnicianSkill Link (hidden ability),0079 (Black/White)0108 (Black 2/White 2)0267 (U.Sun/U.Moon — Alola dex)0051 (Sword/Shield),2 Speed,"60 (7.8% with PokéBall, full HP)",50 (normal),165,Fast,Field,"25% male, 75% female","15 (3,599–3,855 steps)",75,260,354,95,175,317,60,112,240,65,121,251,60,112,240,115,211,361,470,100,100,100,100,100,100,200,100,100,100,100,100,100,0,100,100,100,100
Gothita,https://img.pokemondb.net/artwork/gothita.jpg,0574,Psychic,Fixation Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),1. Frisk2. CompetitiveShadow Tag (hidden ability),0080 (Black/White)0136 (Black 2/White 2)0126 (X/Y — Mountain Kalos)0267 (Sword/Shield)0234 (Scarlet/Violet)0051 (The Crown Tundra),1 Sp. Def,"200 (26.1% with PokéBall, full HP)",50 (normal),58,Medium Slow,Human-Like,"25% male, 75% female","20 (4,884–5,140 steps)",45,200,294,30,58,174,50,94,218,55,103,229,65,121,251,45,85,207,290,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Gothorita,https://img.pokemondb.net/artwork/gothorita.jpg,0575,Psychic,Manipulate Pokémon,0.7 m (2′04″),18.0 kg (39.7 lbs),1. Frisk2. CompetitiveShadow Tag (hidden ability),0081 (Black/White)0137 (Black 2/White 2)0127 (X/Y — Mountain Kalos)0268 (Sword/Shield)0235 (Scarlet/Violet)0052 (The Crown Tundra),2 Sp. Def,"100 (13.1% with PokéBall, full HP)",50 (normal),137,Medium Slow,Human-Like,"25% male, 75% female","20 (4,884–5,140 steps)",60,230,324,45,85,207,70,130,262,75,139,273,85,157,295,55,103,229,390,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Gothitelle,https://img.pokemondb.net/artwork/gothitelle.jpg,0576,Psychic,Astral Body Pokémon,1.5 m (4′11″),44.0 kg (97.0 lbs),1. Frisk2. CompetitiveShadow Tag (hidden ability),0082 (Black/White)0138 (Black 2/White 2)0128 (X/Y — Mountain Kalos)0269 (Sword/Shield)0236 (Scarlet/Violet)0053 (The Crown Tundra),3 Sp. Def,"50 (6.5% with PokéBall, full HP)",50 (normal),245,Medium Slow,Human-Like,"25% male, 75% female","20 (4,884–5,140 steps)",70,250,344,55,103,229,95,175,317,95,175,317,110,202,350,65,121,251,490,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Solosis,https://img.pokemondb.net/artwork/solosis.jpg,0577,Psychic,Cell Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),1. Overcoat2. Magic GuardRegenerator (hidden ability),0083 (Black/White)0139 (Black 2/White 2)0115 (X/Y — Coastal Kalos)0270 (Sword/Shield)0054 (The Crown Tundra),1 Sp. Atk,"200 (26.1% with PokéBall, full HP)",50 (normal),58,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",45,200,294,30,58,174,40,76,196,105,193,339,50,94,218,20,40,152,290,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Duosion,https://img.pokemondb.net/artwork/duosion.jpg,0578,Psychic,Mitosis Pokémon,0.6 m (2′00″),8.0 kg (17.6 lbs),1. Overcoat2. Magic GuardRegenerator (hidden ability),0084 (Black/White)0140 (Black 2/White 2)0116 (X/Y — Coastal Kalos)0271 (Sword/Shield)0055 (The Crown Tundra),2 Sp. Atk,"100 (13.1% with PokéBall, full HP)",50 (normal),130,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",65,240,334,40,76,196,50,94,218,125,229,383,60,112,240,30,58,174,370,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Reuniclus,https://img.pokemondb.net/artwork/reuniclus.jpg,0579,Psychic,Multiplying Pokémon,1.0 m (3′03″),20.1 kg (44.3 lbs),1. Overcoat2. Magic GuardRegenerator (hidden ability),0085 (Black/White)0141 (Black 2/White 2)0117 (X/Y — Coastal Kalos)0272 (Sword/Shield)0056 (The Crown Tundra),3 Sp. Atk,"50 (6.5% with PokéBall, full HP)",50 (normal),221,Medium Slow,Amorphous,"50% male, 50% female","20 (4,884–5,140 steps)",110,330,424,65,121,251,75,139,273,125,229,383,85,157,295,30,58,174,490,100,100,100,100,100,100,50,100,100,100,50,200,100,200,100,200,100,100
Ducklett,https://img.pokemondb.net/artwork/ducklett.jpg,0580,Water Flying,Water Bird Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Keen Eye2. Big PecksHydration (hidden ability),0086 (Black/White)0153 (Black 2/White 2)0127 (X/Y — Central Kalos),1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),61,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",62,234,328,44,83,205,50,94,218,44,83,205,50,94,218,55,103,229,305,100,50,50,400,100,100,50,100,0,100,100,50,200,100,100,100,50,100
Swanna,https://img.pokemondb.net/artwork/swanna.jpg,0581,Water Flying,White Bird Pokémon,1.3 m (4′03″),24.2 kg (53.4 lbs),1. Keen Eye2. Big PecksHydration (hidden ability),0087 (Black/White)0154 (Black 2/White 2)0128 (X/Y — Central Kalos),2 Speed,"45 (5.9% with PokéBall, full HP)",50 (normal),166,Medium Fast,"Flying, Water 1","50% male, 50% female","20 (4,884–5,140 steps)",75,260,354,87,161,300,63,117,247,87,161,300,63,117,247,98,180,324,473,100,50,50,400,100,100,50,100,0,100,100,50,200,100,100,100,50,100
Vanillite,https://img.pokemondb.net/artwork/vanillite.jpg,0582,Ice,Fresh Snow Pokémon,0.4 m (1′04″),5.7 kg (12.6 lbs),1. Ice Body2. Snow CloakWeak Armor (hidden ability),0088 (Black/White)0255 (Black 2/White 2)0085 (X/Y — Mountain Kalos)0255 (Sun/Moon — Alola dex)0332 (U.Sun/U.Moon — Alola dex)0072 (Sword/Shield)0022 (The Crown Tundra),1 Sp. Atk,"255 (33.3% with PokéBall, full HP)",50 (normal),61,Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",36,182,276,50,94,218,50,94,218,65,121,251,60,112,240,44,83,205,305,100,200,100,100,100,50,200,100,100,100,100,100,200,100,100,100,200,100
Vanillish,https://img.pokemondb.net/artwork/vanillish.jpg,0583,Ice,Icy Snow Pokémon,1.1 m (3′07″),41.0 kg (90.4 lbs),1. Ice Body2. Snow CloakWeak Armor (hidden ability),0089 (Black/White)0256 (Black 2/White 2)0086 (X/Y — Mountain Kalos)0256 (Sun/Moon — Alola dex)0333 (U.Sun/U.Moon — Alola dex)0073 (Sword/Shield)0023 (The Crown Tundra),2 Sp. Atk,"120 (15.7% with PokéBall, full HP)",50 (normal),138,Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",51,212,306,65,121,251,65,121,251,80,148,284,75,139,273,59,110,238,395,100,200,100,100,100,50,200,100,100,100,100,100,200,100,100,100,200,100
Vanilluxe,https://img.pokemondb.net/artwork/vanilluxe.jpg,0584,Ice,Snowstorm Pokémon,1.3 m (4′03″),57.5 kg (126.8 lbs),1. Ice Body2. Snow WarningWeak Armor (hidden ability),0090 (Black/White)0257 (Black 2/White 2)0087 (X/Y — Mountain Kalos)0257 (Sun/Moon — Alola dex)0334 (U.Sun/U.Moon — Alola dex)0074 (Sword/Shield)0024 (The Crown Tundra),3 Sp. Atk,"45 (5.9% with PokéBall, full HP)",50 (normal),241,Slow,Mineral,"50% male, 50% female","20 (4,884–5,140 steps)",71,252,346,95,175,317,85,157,295,110,202,350,95,175,317,79,146,282,535,100,200,100,100,100,50,200,100,100,100,100,100,200,100,100,100,200,100
Deerling,https://img.pokemondb.net/artwork/deerling.jpg,0585,Normal Grass,Season Pokémon,0.6 m (2′00″),19.5 kg (43.0 lbs),1. Chlorophyll2. Sap SipperSerene Grace (hidden ability),0091 (Black/White)0159 (Black 2/White 2)0190 (Scarlet/Violet),1 Speed,"190 (24.8% with PokéBall, full HP)",50 (normal),67,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",60,230,324,60,112,240,50,94,218,40,76,196,50,94,218,75,139,273,335,100,200,50,50,50,200,200,200,50,200,100,200,100,0,100,100,100,100
Sawsbuck,https://img.pokemondb.net/artwork/sawsbuck.jpg,0586,Normal Grass,Season Pokémon,1.9 m (6′03″),92.5 kg (203.9 lbs),1. Chlorophyll2. Sap SipperSerene Grace (hidden ability),0092 (Black/White)0160 (Black 2/White 2)0191 (Scarlet/Violet),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),166,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",80,270,364,100,184,328,70,130,262,60,112,240,70,130,262,95,175,317,475,100,200,50,50,50,200,200,200,50,200,100,200,100,0,100,100,100,100
Emolga,https://img.pokemondb.net/artwork/emolga.jpg,0587,Electric Flying,Sky Squirrel Pokémon,0.4 m (1′04″),5.0 kg (11.0 lbs),1. StaticMotor Drive (hidden ability),0093 (Black/White)0144 (Black 2/White 2)0086 (X/Y — Coastal Kalos)0274 (Sun/Moon — Alola dex)0364 (U.Sun/U.Moon — Alola dex)0102 (The Isle of Armor),2 Speed,"200 (26.1% with PokéBall, full HP)",50 (normal),150,Medium Fast,Field,"50% male, 50% female","20 (4,884–5,140 steps)",55,220,314,75,139,273,60,112,240,75,139,273,60,112,240,103,189,335,428,100,100,100,100,50,200,50,100,0,50,100,50,200,100,100,100,50,100
Karrablast,https://img.pokemondb.net/artwork/karrablast.jpg,0588,Bug,Clamping Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),1. Swarm2. Shed SkinNo Guard (hidden ability),0094 (Black/White)0155 (Black 2/White 2)0022 (X/Y — Mountain Kalos)0273 (Sword/Shield)0066 (The Isle of Armor)0095 (The Crown Tundra),1 Attack,"200 (26.1% with PokéBall, full HP)",50 (normal),63,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",50,210,304,75,139,273,45,85,207,40,76,196,45,85,207,60,112,240,315,100,200,100,100,50,100,50,100,50,200,100,100,200,100,100,100,100,100
Escavalier,https://img.pokemondb.net/artwork/escavalier.jpg,0589,Bug Steel,Cavalry Pokémon,1.0 m (3′03″),33.0 kg (72.8 lbs),1. Swarm2. Shell ArmorOvercoat (hidden ability),0095 (Black/White)0156 (Black 2/White 2)0023 (X/Y — Mountain Kalos)0274 (Sword/Shield)0067 (The Isle of Armor)0096 (The Crown Tundra),2 Attack,"75 (9.8% with PokéBall, full HP)",50 (normal),173,Medium Fast,Bug,"50% male, 50% female","15 (3,599–3,855 steps)",70,250,344,135,247,405,105,193,339,60,112,240,105,193,339,20,40,152,495,50,400,100,100,25,50,100,0,100,100,50,50,100,100,50,100,50,50
Foongus,https://img.pokemondb.net/artwork/foongus.jpg,0590,Grass Poison,Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),1. Effect SporeRegenerator (hidden ability),0096 (Black/White)0161 (Black 2/White 2)0053 (X/Y — Mountain Kalos)0205 (Scarlet/Violet)0077 (The Isle of Armor),1 HP,"190 (24.8% with PokéBall, full HP)",50 (normal),59,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",69,248,342,55,103,229,45,85,207,55,103,229,55,103,229,15,31,141,294,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
Amoonguss,https://img.pokemondb.net/artwork/amoonguss.jpg,0591,Grass Poison,Mushroom Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),1. Effect SporeRegenerator (hidden ability),0097 (Black/White)0162 (Black 2/White 2)0054 (X/Y — Mountain Kalos)0206 (Scarlet/Violet)0078 (The Isle of Armor),2 HP,"75 (9.8% with PokéBall, full HP)",50 (normal),162,Medium Fast,Grass,"50% male, 50% female","20 (4,884–5,140 steps)",114,338,432,85,157,295,70,130,262,85,157,295,80,148,284,30,58,174,464,100,200,50,50,25,200,50,100,100,200,200,100,100,100,100,100,100,50
